label,timestamp,duration,pkg,dram,socket
k_nearest2,1642423633.2860847,13942.218,288147.0,10315.0,0
k_nearest2,1642423633.3010128,13980.542,287536.0,10192.0,0
k_nearest2,1642423633.3159614,13998.975,282959.0,10071.0,0
k_nearest2,1642423633.3309271,13744.477,286804.0,10010.0,0
k_nearest2,1642423633.345648,13770.417,285095.0,10010.0,0
k_nearest2,1642423633.3603818,13798.925,286925.0,10193.0,0
k_nearest2,1642423633.3751507,14655.447,305236.0,10987.0,0
k_nearest2,1642423633.3908772,15831.529,326354.0,13245.0,0
k_nearest2,1642423633.407735,14213.094,310363.0,11719.0,0
k_nearest2,1642423633.4230428,14053.567,281249.0,10254.0,0
k_nearest2,1642423633.4381058,14020.38,284179.0,10070.0,0
k_nearest2,1642423633.4531152,13898.807,283019.0,10132.0,0
k_nearest2,1642423633.4679832,13993.886,277465.0,10010.0,0
k_nearest2,1642423633.4829264,14382.927,272216.0,10315.0,0
k_nearest2,1642423633.4982677,13996.195,270080.0,10132.0,0
k_nearest2,1642423633.513276,13853.777,271667.0,10193.0,0
k_nearest2,1642423633.5280914,13919.156,272338.0,10376.0,0
k_nearest2,1642423633.5429778,13842.817,268737.0,10192.0,0
k_nearest2,1642423633.5579302,13782.958,267944.0,9949.0,0
k_nearest2,1642423633.5727525,13971.757,279174.0,10254.0,0
k_nearest2,1642423633.5877135,14116.28,286499.0,10376.0,0
k_nearest2,1642423633.6028242,14425.791,285400.0,10803.0,0
k_nearest2,1642423633.618249,14495.914,334349.0,12573.0,0
k_nearest2,1642423633.6338315,13818.473,286926.0,10193.0,0
k_nearest2,1642423633.6486437,13659.083,267394.0,9339.0,0
k_nearest2,1642423633.6632786,13999.877,284729.0,10010.0,0
k_nearest2,1642423633.6782904,14241.254,303344.0,10864.0,0
k_nearest2,1642423633.693625,13789.23,287964.0,10193.0,0
k_nearest2,1642423633.708387,13436.232,287230.0,10009.0,0
k_nearest2,1642423633.722804,13881.09,287414.0,10071.0,0
k_nearest2,1642423633.7376661,13654.57,265808.0,9460.0,0
k_nearest2,1642423633.7523425,13754.993,286620.0,10071.0,0
k_nearest2,1642423633.7672505,15497.711,395812.0,13489.0,0
k_nearest2,1642423633.7838056,14134.935,279785.0,10437.0,0
k_nearest2,1642423633.798921,14099.492,282348.0,10193.0,0
k_nearest2,1642423633.8139899,13925.765,292968.0,10620.0,0
k_nearest2,1642423633.8289344,13941.015,315917.0,11596.0,0
k_nearest2,1642423633.8438458,13750.817,286865.0,10376.0,0
k_nearest2,1642423633.8585682,13423.002,266845.0,9339.0,0
k_nearest2,1642423633.8731725,13828.269,271789.0,10071.0,0
k_nearest2,1642423633.887985,13926.554,268309.0,10010.0,0
k_nearest2,1642423633.9028647,14055.555,270141.0,10193.0,0
k_nearest2,1642423633.9178727,13971.963,271117.0,10009.0,0
k_nearest2,1642423633.9327967,14006.708,269591.0,9949.0,0
k_nearest2,1642423633.947754,13956.483,270751.0,10010.0,0
k_nearest2,1642423633.9626625,14095.657,270873.0,10132.0,0
k_nearest2,1642423633.9778173,14269.172,286437.0,10254.0,0
k_nearest2,1642423633.993152,14422.087,303527.0,11230.0,0
k_nearest2,1642423634.0085897,13734.097,274108.0,9826.0,0
