Accuracy,k_value
0.7138728323699421,2
0.7225433526011561,3
0.7427745664739884,4
0.7716763005780347,5
0.6994219653179191,7
0.7196531791907514,9
0.7138728323699421,11
0.7196531791907514,13
0.7225433526011561,15
0.6994219653179191,18
0.7167630057803468,21
0.6994219653179191,24
0.6647398843930635,27
0.6820809248554913,30
