Accuracy,k_value
0.8552958727001492,2
0.8594397480523785,3
0.8680590087850157,4
0.864578153489143,5
0.856124647770595,7
0.8614288082214487,9
0.8533068125310791,11
0.8673959887286591,13
0.8632521133764296,15
0.856124647770595,18
0.8581137079396651,21
0.8534725675451682,24
0.8680590087850157,27
0.8624233383059837,30
