Accuracy,k_value
0.6820809248554913,2
0.6878612716763006,3
0.6763005780346821,4
0.7052023121387283,5
0.7312138728323699,7
0.6820809248554913,9
0.6589595375722543,11
0.7341040462427746,13
0.7369942196531792,15
0.6473988439306358,18
0.653179190751445,21
0.6878612716763006,24
0.7052023121387283,27
0.6907514450867052,30
