Accuracy,k_value
0.8115365489806067,2
0.8214818498259573,3
0.7089341952594066,4
0.8012597381070777,5
0.8281120503895243,7
0.8077241836565556,9
0.8180009945300846,11
0.8027515332338804,13
0.8160119343610144,15
0.7926404773744405,18
0.7319741422178021,21
0.7666169401624399,24
0.7871705619094977,27
0.7095972153157633,30
