label,timestamp,duration,pkg,dram,socket
Gradient_boosting2,1642423514.177774,359534.801,7292523.0,245299.0,0
Gradient_boosting2,1642423514.5383425,361102.767,7313092.0,246154.0,0
Gradient_boosting2,1642423514.9005232,357346.67,7371136.0,243407.0,0
Gradient_boosting2,1642423515.258938,359039.737,7306012.0,244445.0,0
Gradient_boosting2,1642423515.6191883,359011.391,7452069.0,245361.0,0
Gradient_boosting2,1642423515.9792316,359084.444,7475688.0,245727.0,0
Gradient_boosting2,1642423516.3393514,357290.246,7344158.0,240966.0,0
Gradient_boosting2,1642423516.6977992,359530.269,7429913.0,244933.0,0
Gradient_boosting2,1642423517.0583675,360730.376,7436321.0,246581.0,0
Gradient_boosting2,1642423517.4201136,359395.226,7308270.0,244079.0,0
Gradient_boosting2,1642423517.7805424,360367.957,7362164.0,247130.0,0
Gradient_boosting2,1642423518.1419523,358332.572,7434429.0,243468.0,0
Gradient_boosting2,1642423518.5014956,357322.725,7289105.0,242675.0,0
Gradient_boosting2,1642423518.8598444,359652.734,7505230.0,247192.0,0
Gradient_boosting2,1642423519.2205725,358863.567,7348553.0,243102.0,0
Gradient_boosting2,1642423519.5804594,360187.304,7447491.0,247252.0,0
Gradient_boosting2,1642423519.941734,356009.872,7226849.0,239379.0,0
Gradient_boosting2,1642423520.2987819,365196.88,7384502.0,257140.0,0
Gradient_boosting2,1642423520.6651683,359714.15,7331341.0,246581.0,0
Gradient_boosting2,1642423521.025907,355056.51,7331280.0,239928.0,0
Gradient_boosting2,1642423521.3819978,359818.781,7321453.0,246276.0,0
Gradient_boosting2,1642423521.7428477,356615.848,7369244.0,241821.0,0
Gradient_boosting2,1642423522.100491,356548.092,7294110.0,241638.0,0
Gradient_boosting2,1642423522.458074,359758.963,7448345.0,246886.0,0
Gradient_boosting2,1642423522.8188941,361047.185,7337506.0,245177.0,0
Gradient_boosting2,1642423523.1810353,357919.151,7448772.0,244689.0,0
Gradient_boosting2,1642423523.539987,358338.172,7264874.0,241088.0,0
Gradient_boosting2,1642423523.899404,361667.713,7332439.0,247375.0,0
Gradient_boosting2,1642423524.2620935,362498.329,7384197.0,249206.0,0
Gradient_boosting2,1642423524.6256237,359683.088,7221722.0,242004.0,0
Gradient_boosting2,1642423524.986343,362985.385,7305645.0,249145.0,0
Gradient_boosting2,1642423525.3503635,357757.673,7380414.0,243163.0,0
Gradient_boosting2,1642423525.7092366,358344.445,7303875.0,243407.0,0
Gradient_boosting2,1642423526.068613,363362.076,7233868.0,247680.0,0
Gradient_boosting2,1642423526.433061,357365.095,7413860.0,242614.0,0
Gradient_boosting2,1642423526.7914495,358839.533,7469219.0,245300.0,0
Gradient_boosting2,1642423527.151338,358115.845,7259869.0,240966.0,0
Gradient_boosting2,1642423527.5104823,361766.155,7436810.0,249755.0,0
Gradient_boosting2,1642423527.873326,362794.252,7362652.0,250732.0,0
Gradient_boosting2,1642423528.2372007,366286.882,7429790.0,257934.0,0
Gradient_boosting2,1642423528.6045005,369313.206,7244550.0,263061.0,0
Gradient_boosting2,1642423528.9749,357887.757,7407024.0,244445.0,0
Gradient_boosting2,1642423529.3341498,362648.837,7429913.0,252196.0,0
Gradient_boosting2,1642423529.6978254,360015.909,7335187.0,246337.0,0
Gradient_boosting2,1642423530.0589542,359713.856,7453350.0,244933.0,0
Gradient_boosting2,1642423530.4196885,364935.995,7427837.0,261474.0,0
Gradient_boosting2,1642423530.7857234,357158.721,7317548.0,240783.0,0
Gradient_boosting2,1642423531.143892,362157.204,7307659.0,246459.0,0
Gradient_boosting2,1642423531.507063,362891.398,7354778.0,249939.0,0
