label,timestamp,duration,pkg,dram,socket
k_nearest2,1642423511.791258,14381.048,305663.0,11169.0,0
k_nearest2,1642423511.8065891,14269.495,283020.0,10070.0,0
k_nearest2,1642423511.8218348,14406.417,282592.0,10071.0,0
k_nearest2,1642423511.8372324,14218.908,284484.0,10071.0,0
k_nearest2,1642423511.8524787,15816.65,252197.0,11292.0,0
k_nearest2,1642423511.8693175,14118.822,281615.0,9949.0,0
k_nearest2,1642423511.8843267,14456.28,304626.0,10926.0,0
k_nearest2,1642423511.89971,14484.712,287230.0,10315.0,0
k_nearest2,1642423511.9151032,14680.394,301757.0,11292.0,0
k_nearest2,1642423511.9307342,14494.565,285156.0,10437.0,0
k_nearest2,1642423511.9461548,14267.497,281859.0,10193.0,0
k_nearest2,1642423511.9613829,14361.614,305968.0,10803.0,0
k_nearest2,1642423511.9766967,14258.706,286376.0,10192.0,0
k_nearest2,1642423511.9919405,14587.183,300903.0,10864.0,0
k_nearest2,1642423512.0074377,14917.419,272460.0,10742.0,0
k_nearest2,1642423512.0232873,14422.995,303832.0,10681.0,0
k_nearest2,1642423512.038637,14191.161,282958.0,10010.0,0
k_nearest2,1642423512.0538101,14034.271,284729.0,9827.0,0
k_nearest2,1642423512.0689502,13900.849,283568.0,9948.0,0
k_nearest2,1642423512.0838084,14594.76,280639.0,10009.0,0
k_nearest2,1642423512.0993204,14322.417,302184.0,10620.0,0
k_nearest2,1642423512.114567,14134.896,285216.0,9888.0,0
k_nearest2,1642423512.1296306,14269.538,283996.0,9949.0,0
k_nearest2,1642423512.1448295,15585.193,388488.0,12023.0,0
k_nearest2,1642423512.1617253,14618.359,278380.0,10498.0,0
k_nearest2,1642423512.1773815,14407.649,284667.0,10864.0,0
k_nearest2,1642423512.192744,14641.435,268005.0,10193.0,0
k_nearest2,1642423512.2083154,14333.569,285827.0,10681.0,0
k_nearest2,1642423512.2235777,14532.981,265258.0,10009.0,0
k_nearest2,1642423512.2390432,14897.484,282958.0,10742.0,0
k_nearest2,1642423512.2548642,14697.443,282165.0,10620.0,0
k_nearest2,1642423512.2704716,14227.777,281371.0,10560.0,0
k_nearest2,1642423512.285796,14573.641,266784.0,10071.0,0
k_nearest2,1642423512.3012893,14373.296,287292.0,10803.0,0
k_nearest2,1642423512.3165767,14411.349,268309.0,10071.0,0
k_nearest2,1642423512.3318877,14479.909,269896.0,9888.0,0
k_nearest2,1642423512.347282,14608.503,286986.0,10681.0,0
k_nearest2,1642423512.3628094,14462.812,270324.0,10009.0,0
k_nearest2,1642423512.3781898,14657.792,301940.0,10986.0,0
k_nearest2,1642423512.393952,14510.09,281616.0,10131.0,0
k_nearest2,1642423512.4094412,14719.545,302489.0,11230.0,0
k_nearest2,1642423512.4251678,14318.118,284911.0,10132.0,0
k_nearest2,1642423512.4404616,14494.79,305603.0,10864.0,0
k_nearest2,1642423512.455942,14400.831,282653.0,10009.0,0
k_nearest2,1642423512.4712882,14432.945,291565.0,10681.0,0
k_nearest2,1642423512.4866538,14505.469,264282.0,9888.0,0
k_nearest2,1642423512.5022504,13980.034,269286.0,10009.0,0
k_nearest2,1642423512.5171669,14464.255,286072.0,11352.0,0
k_nearest2,1642423512.5325847,17547.191,325500.0,15808.0,0
