label,timestamp,duration,pkg,dram,socket
k_nearest2,1642423573.501179,13928.114,283996.0,10437.0,0
k_nearest2,1642423573.5161018,13905.252,283813.0,10193.0,0
k_nearest2,1642423573.5309703,13558.461,287108.0,10010.0,0
k_nearest2,1642423573.5458038,14581.498,281798.0,10559.0,0
k_nearest2,1642423573.5615199,13919.766,301268.0,11596.0,0
k_nearest2,1642423573.5764017,14016.846,268249.0,10987.0,0
k_nearest2,1642423573.5914147,14084.247,292663.0,11230.0,0
k_nearest2,1642423573.606469,13971.003,263549.0,10986.0,0
k_nearest2,1642423573.6214054,14045.549,282836.0,10804.0,0
k_nearest2,1642423573.6364074,14089.595,291564.0,10742.0,0
k_nearest2,1642423573.6514518,14300.745,277893.0,10803.0,0
k_nearest2,1642423573.6668143,14269.017,267028.0,10071.0,0
k_nearest2,1642423573.6820817,13818.163,283813.0,10070.0,0
k_nearest2,1642423573.6969185,13474.889,264647.0,9338.0,0
k_nearest2,1642423573.711404,13849.134,281738.0,10070.0,0
k_nearest2,1642423573.726245,14488.31,284850.0,10864.0,0
k_nearest2,1642423573.7418022,14266.265,272277.0,10193.0,0
k_nearest2,1642423573.757088,14244.982,286926.0,10559.0,0
k_nearest2,1642423573.7723253,14253.841,328551.0,12146.0,0
k_nearest2,1642423573.7875624,13930.968,286377.0,10070.0,0
k_nearest2,1642423573.8024695,14671.794,271911.0,10926.0,0
k_nearest2,1642423573.8181088,14087.592,286498.0,10376.0,0
k_nearest2,1642423573.8332458,13967.435,283752.0,10314.0,0
k_nearest2,1642423573.8481812,14833.81,375365.0,12024.0,0
k_nearest2,1642423573.864091,14420.702,309691.0,12085.0,0
k_nearest2,1642423573.8796816,14175.138,265685.0,10254.0,0
k_nearest2,1642423573.894805,14138.451,263244.0,10132.0,0
k_nearest2,1642423573.9099526,13948.371,265685.0,10132.0,0
k_nearest2,1642423573.9248545,14155.219,265930.0,10010.0,0
k_nearest2,1642423573.9399683,14041.796,263732.0,10009.0,0
k_nearest2,1642423573.9549627,14363.87,268981.0,10437.0,0
k_nearest2,1642423573.970307,14357.922,291625.0,11170.0,0
k_nearest2,1642423573.9856362,14097.414,282348.0,10865.0,0
k_nearest2,1642423574.0006995,14097.572,259093.0,10071.0,0
k_nearest2,1642423574.0158448,22510.42,477599.0,24597.0,0
k_nearest2,1642423574.0397596,21578.873,397460.0,20751.0,0
k_nearest2,1642423574.063037,32790.386,689146.0,39794.0,0
k_nearest2,1642423574.0972779,19378.06,389830.0,22705.0,0
k_nearest2,1642423574.1180718,20060.069,363829.0,19837.0,0
k_nearest2,1642423574.1392019,15010.547,262938.0,11658.0,0
k_nearest2,1642423574.1560187,19909.716,447508.0,20325.0,0
k_nearest2,1642423574.1775482,18600.154,341735.0,17761.0,0
k_nearest2,1642423574.19729,14658.247,261901.0,11291.0,0
k_nearest2,1642423574.2131133,16276.372,231384.0,11780.0,0
k_nearest2,1642423574.2306008,15135.09,233215.0,10865.0,0
k_nearest2,1642423574.2468355,13963.632,248107.0,10132.0,0
k_nearest2,1642423574.2617707,14977.47,264587.0,11048.0,0
k_nearest2,1642423574.2777834,14052.551,264464.0,10132.0,0
k_nearest2,1642423574.2927902,14013.143,264525.0,10132.0,0
